"massflow","Normals:0","Normals:1","Normals:2","Theta","U1:0","U1:1","U1:2","U1Mean:0","U1Mean:1","U1Mean:2","U2:0","U2:1","U2:2","U2Mean:0","U2Mean:1","U2Mean:2","alpha0","alpha1","alpha1Mean","epsilon","k","magU1Mean","p","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
23.471,0,-0.0008,0,8e-08,0,0,0,-3.4155e-08,-2.2434e-05,0,0,0,0,-1.8658e-07,-6.1171e-05,0,0,0.00024,0.0002543,0.008,0.0008,3.7648e-05,0,1,0,5.294e-19,0,0.005
5.0304,-5.2566e-10,-2.5085e-05,0,,,,,1.1786e-09,-7.1071e-05,0,4.0284e-10,-5.375e-06,0,-1.246e-09,-4.0451e-05,0,,,0.00025214,0.00024453,0.008,0.0008,0.033502,1,0.02,5.294e-19,0,0.005
12.332,1.1858e-08,-4.9224e-05,0,,,,,4.7837e-09,-0.00012561,0,1.0725e-09,-1.1807e-05,0,1.3984e-08,-8.2887e-05,0,,,0.00026734,0.00025244,0.008,0.0008,0.034008,1,0.04,5.294e-19,0,0.005
18.906,9.8395e-09,-6.6946e-05,0,,,,,2.7294e-09,-0.00016077,0,1.7992e-09,-1.6603e-05,0,1.5413e-08,-0.00012798,0,,,0.00028996,0.00026044,0.008,0.0008,0.037965,1,0.06,5.294e-19,0,0.005
28.454,-1.2262e-08,-8.4569e-05,0,,,,,-2.8898e-09,-0.00019156,0,1.431e-09,-2.2228e-05,0,-1.0381e-08,-0.00016924,0,,,0.00031363,0.00027132,0.008,0.0008,0.046039,1,0.08,5.294e-19,0,0.005
38.63,-5.3488e-09,-0.00010009,0,,,,,-5.3095e-09,-0.00020789,0,2.7513e-10,-2.8042e-05,0,-2.8409e-09,-0.00019444,0,,,0.00032849,0.00028147,0.008,0.0008,0.04602,1,0.1,5.294e-19,0,0.005
48.74,-1.0939e-08,-0.0001135,0,,,,,-1.1615e-08,-0.0002241,0,-1.0548e-09,-3.3661e-05,0,-8.3342e-09,-0.00022206,0,,,0.00033478,0.00028984,0.008,0.0008,0.047049,1,0.12,5.294e-19,0,0.005
58.405,-1.2923e-08,-0.00012526,0,,,,,-1.8964e-08,-0.00023707,0,-3.0465e-09,-3.8872e-05,0,-7.6447e-09,-0.0002494,0,,,0.00033791,0.00029653,0.008,0.0008,0.047184,1,0.14,5.294e-19,0,0.005
67.368,-5.3623e-08,-0.00013555,0,,,,,-3.6884e-08,-0.00024664,0,-5.7236e-09,-4.3564e-05,0,-4.8501e-08,-0.00027319,0,,,0.00033866,0.00030173,0.008,0.0008,0.048159,1,0.16,5.294e-19,0,0.005
75.581,-2.6555e-07,-0.00014452,0,,,,,-1.2556e-07,-0.00024914,0,-1.4028e-08,-4.7785e-05,0,-2.6059e-07,-0.0002909,0,,,0.00034416,0.00030606,0.008,0.0008,0.049001,1,0.18,5.294e-19,0,0.005
